position,fiberid
70.995,99
82.5,98
94.065,97
106.65,96
119.26,95
129.58,94
141.635,93
153.165,92
164.955,91
176.605,90
188.71,89
199.89,88
211.685,87
223.345,86
235.24,85
246.62,84
258.635,83
269.905,82
281.685,81
293.745,80
305.385,79
316.56,78
328.65,77
341.365,76
352.5,75
364.0,74
375.69,73
385.655,72
397.335,71
410.135,70
421.57,69
432.25,68
444.465,67
456.055,66
468.75,65
479.505,64
492.135,63
502.74,62
513.22,61
525.28,60
536.5,59
548.0,58
560.205,57
572.28,56
584.0,55
595.615,54
607.06,53
620.15,52
631.615,51
642.385,50
653.625,49
665.135,48
677.36,47
687.575,46
699.06,45
711.635,44
723.185,43
734.035,42
746.965,41
757.5,40
768.415,39
781.625,38
791.375,37
803.33,36
814.785,35
826.5,34
837.61,33
849.53,32
861.045,31
873.415,30
885.17,29
895.32,28
906.96,27
918.425,26
930.08,25
941.625,24
954.62,23
965.205,22
976.5,21
987.99,20
999.86,19
1011.5,18
1022.89,17
1035.465,16
1047.575,15
1058.19,14
1069.405,13
1081.0,12
1093.46,11
1105.25,10
1116.48,9
1127.5,8
1139.53,7
1151.215,6
1163.57,5
1174.595,4
1186.62,3
1198.8,2
